artifact,producer_code,input_data,created,grade,evidence
data/processed/panel.csv,src/build_data.py:272 → src/analyze.py:43,data/raw/[공항]2025-MM.xlsx(48) · data/raw/estat_shukuhaku_2025_pref.xlsx · data/raw/airports.csv · data/raw/japan_pref.geojson · data/reference/prefecture_capitals.csv,2026-08-27,재현가능,생성자 둘. build_data 가 만들고 analyze 가 같은 경로에 덮어써 잔차 6열을 붙인다. **analyze.py 가 마지막이어야 한다** — build_data 를 단독 재실행하면 잔차가 사라지고 앱이 깨진다
data/processed/routes.csv,src/build_data.py:273,data/raw/[공항]2025-MM.xlsx(48) · data/raw/airports.csv,2026-08-27,재현가능,"glob ""[[]*[]]2025-*.xlsx"" 실행 결과 정확히 48개 매치 확인. _구버전_ 4개는 이름이 [ 로 시작하지 않아 제외됨"
data/processed/airports_jp.csv,src/build_data.py:288,data/raw/[공항]2025-MM.xlsx(48) · data/raw/airports.csv · data/reference/airport_names_ko.csv,2026-08-27,재현가능,조건부 열 name_ko_raw(275행 분기)가 실제 헤더에 있어 그 분기가 실행됐음이 확인됨
data/processed/japan_pref_simple.geojson,src/build_data.py:218 (prefectures),data/raw/japan_pref.geojson · data/reference/prefecture_capitals.csv,2026-08-27,재현가능,"json.dump 는 build_data.py:217-218 한 곳. 호출자가 둘(build_data.build():240, build_scenarios.py:96)이라 rebuild.sh 순서상 최종 작성자는 build_scenarios"
data/processed/grid_cells.csv,src/build_grid.py:115,data/raw/japan_pref.geojson · data/raw/airports.csv · data/raw/[공항]2025-MM.xlsx(48),2026-08-27,재현가능,"10km 격자 3,953칸. build_data 를 모듈로 import 하지만 그 산출물은 읽지 않는다 — 원자료에만 의존"
data/processed/grid_access.csv,src/build_grid.py:116,data/raw/japan_pref.geojson · data/raw/airports.csv · data/raw/[공항]2025-MM.xlsx(48),2026-08-27,재현가능,칸×월 최단 총소요시간과 최적 출발·도착공항. 다른 스크립트 산출물에 의존하지 않음
data/processed/grid_cells.geojson,src/build_grid.py:117 (dump는 :100),data/processed/grid_cells.csv (같은 실행 안),2026-08-27,재현가능,117행이 경로를 넘기고 cell_geojson() 100행이 dump. 같은 실행 안에서 만든 격자를 폴리곤으로 옮긴 것
data/processed/airport_pref.csv,src/build_scenarios.py:91,data/raw/japan_pref.geojson · data/raw/airports.csv · data/raw/[공항]2025-MM.xlsx(48),2026-08-27,재현가능,**주의: build_scenarios.py:82 가 japan_pref.geojson 을 json.load 로 직접 읽어 load_boundaries() 를 우회한다.** 분쟁지역 링 제외가 이 경로에는 적용되지 않는다
data/processed/panel_by_dep.csv,src/build_scenarios.py:98,data/raw/japan_pref.geojson · data/reference/prefecture_capitals.csv · data/raw/airports.csv · data/raw/[공항]2025-MM.xlsx(48),2026-08-27,재현가능,도도부현×월×출발공항 4개 각각의 최단 소요시간. 96행 B.prefectures() 경유
data/processed/grid_by_dep.csv,src/build_scenarios.py:103,data/processed/grid_cells.csv · data/raw/airports.csv · data/raw/[공항]2025-MM.xlsx(48),2026-08-27,재현가능,선행 입력 grid_cells.csv 가 실재하고 그 생산자 build_grid.py 도 있다 — 계보가 끝까지 이어짐
data/processed/annual.csv,src/analyze.py:52,data/processed/panel.csv,2026-08-27,재현가능,유일한 입력 panel.csv 실재(564행)하고 상류 raw 전부 존재. 도도부현 47행 연간 집계
